GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
39.90280766,116.4011562,39.904211,116.407395,39.91044675,116.413822,中国北京市东城区北京市人民政府,-,北京
33.84601674,115.7731346,33.844582,115.778676,33.85082919,115.7851013,中国安徽省亳州市谯城区希夷大道588号,-,亳州
43.81464136,125.3170584,43.817072,125.323544,43.82281133,125.3301792,中国吉林省长春市南关区市府北路,130022,长春
28.23171601,112.9333745,28.228209,112.938814,28.23430153,112.9453312,中国湖南省长沙市岳麓区岳麓大道218号,410013,长沙
30.57525938,104.0642905,30.572816,104.066801,30.57876866,104.0732995,中国四川省成都市武侯区成都联合产权交易所（锦悦西路）,-,成都
37.43323251,116.3515749,37.434093,116.357465,37.44003089,116.3640001,中国山东省德州市德城区东风东路1566号,-,德州
23.02338851,113.7466072,23.020673,113.7518,23.02699944,113.758221,中国广东省东莞市东莞市统计局,-,东莞
22.18596794,112.2999898,22.183206,112.305145,22.18953828,112.3115753,中国广东省江门市恩平市解放路15号,529400,恩平市
23.0240217,113.1159482,23.021479,113.121436,23.02739302,113.1279351,中国广东省佛山市禅城区佛山市纪律检查委员会,528000,佛山
32.89209703,115.8088138,32.890124,115.814205,32.89635532,115.8206398,中国安徽省阜阳市颍州区清河东路539号,236000,阜阳
23.13178382,113.2590635,23.12911,113.264385,23.13535283,113.2708262,-,-,广州
26.65132407,106.6265867,26.647661,106.630154,26.65342,106.636727,中国贵州省贵阳市观山湖区林城东路7号,550081,贵阳
45.80175924,126.5288784,45.803775,126.534967,45.80938339,126.5415607,-,-,哈尔滨
36.62556229,114.5332221,36.625657,114.538962,36.63132609,114.5455764,中国河北省邯郸市邯郸县联通北路3号,56000,邯郸
30.27641081,120.1503815,30.274085,120.15507,30.27983345,120.1616489,中国浙江省杭州市拱墅区杭州市人民政府,310000,杭州
31.82258395,117.2217366,31.820592,117.227219,31.82693549,117.2336455,-,-,合肥
23.7463426,114.6962725,23.743686,114.700961,23.74993514,114.7074088,-,-,河源市
22.76834005,112.9593498,22.765392,112.964446,22.77116101,112.970997,中国广东省江门市鹤山市前进路18号,529700,鹤山市
33.95725992,116.7928684,33.955845,116.798265,33.96158406,116.8048403,-,-,淮北
23.11474866,114.4108335,23.112257,114.415801,23.11792085,114.422361,中国广东省惠州市惠城区文明一路25号,516000,惠州市
36.65078131,117.1138738,36.651216,117.12,36.65755352,117.126412,中国山东省济南市历下区龙奥南路,-,济南
35.41542796,116.581998,35.414982,116.587282,35.42074048,116.593876,-,-,济宁
22.58180662,113.0760685,22.579117,113.081508,22.58487837,113.0880857,中国广东省江门市蓬江区白沙大道西1号,529020,江门市
22.37931173,112.6934703,22.376395,112.698545,22.38249133,112.7050492,-,-,开平市
24.88314637,102.8314651,24.880095,102.832892,24.8863715,102.8393412,中国云南省昆明市呈贡区锦绣大街1号,-,昆明
36.45694371,115.9797844,36.45703,115.98546,36.46281126,115.9920434,-,-,聊城
24.29123582,116.117411,24.288615,116.122239,24.29452643,116.1287765,中国广东省梅州市梅江区新中路48号,514700,梅州市
28.68620998,115.8532949,28.682892,115.858198,28.68854475,115.864776,-,-,南昌
32.06232359,118.791695,32.060255,118.796877,32.06659733,118.8033013,中国江苏省南京市玄武区南京市人民政府1幢,210008,南京
29.87088522,121.539795,29.868336,121.54399,29.87457472,121.5504125,中国浙江省宁波市海曙区柳汀街120号,315010,宁波
36.06683917,120.377486,36.067108,120.382609,36.07320848,120.3890867,-,-,青岛
24.8770376,118.6711377,24.874132,118.675676,24.88049346,118.6821448,中国福建省泉州市丰泽区海星街,-,泉州
31.23233342,121.4691573,31.230416,121.473701,31.23632656,121.4802386,-,-,上海
22.54581613,114.0527581,22.543096,114.057865,22.54877531,114.064426,中国广东省深圳市福田区福田ＣＢＤ深圳市人民政府,518000,深圳
41.80326401,123.4253244,41.805699,123.431472,41.81145758,123.4380591,-,-,沈阳
38.04165214,114.5088465,38.042307,114.51486,38.04818667,114.5213812,中国河北省石家庄市长安区石家庄市人民政府外事办公室,50011,石家庄
31.30116085,120.5811165,31.298979,120.58529,31.30532145,120.591688,中国江苏省苏州市姑苏区苏州市人事局,215000,苏州
33.64793782,116.9590097,33.646357,116.964358,33.6522897,116.9709192,-,-,宿州
22.2547789,112.788942,22.251924,112.794065,22.25824685,112.8005133,中国广东省江门市台山市中山路23号,529200,台山市
39.62954904,118.1739015,39.630867,118.180194,39.63713721,118.1866154,-,-,唐山
36.70650185,119.1558535,36.706962,119.161749,36.7132951,119.1681316,中国山东省潍坊市奎文区胜利东街99号,261000,潍坊
30.59550493,114.2999535,30.593099,114.305393,30.59886907,114.3119614,-,-,武汉
34.34312974,108.9351244,34.341575,108.93977,34.34781245,108.94623,中国陕西省西安市未央区张家堡商圈凤城八路109号,-,西安
24.48248017,118.0844522,24.479834,118.089425,24.48609039,118.0958796,-,-,厦门
34.74778345,113.6192823,34.746611,113.625328,34.75294724,113.6317286,中国河南省郑州市中原区碧沙岗商圈郑州市人民政府,450000,郑州
22.51968979,113.3872479,22.516999,113.392725,22.52333353,113.3991529,-,-,中山市
29.56009081,106.5734231,29.5572164,106.5771192,29.56331646,106.583604,中国重庆市渝中区解放碑商圈人民解放纪念碑,400065,重庆解放碑
29.60416171,106.5027357,29.6014517,106.5065766,29.60719513,106.5131141,-,-,重庆两江新区
22.27398638,113.5716408,22.270978,113.576678,22.27664444,113.5832379,中国广东省珠海市香洲区珠海市发展和改革委员会,519000,珠海市
35.10503762,118.35071,35.10462506,118.3564392,35.110531,118.36299,,,临沂
